age_group,month,year,n,mean,median,std,type
"[20,80]",12,2012,28,307.666071210589,245,149.626635561145,male
"[20,80]",12,2013,29,286.003137259648,291,116.135013265218,male
"[20,80]",12,2014,28,320.19739314488,352.149993896484,122.871661974945,male
"[20,80]",12,2015,39,296.544128026718,279,107.781053102035,male
"[20,80]",12,2016,55,418.261871060458,415.5,154.283786424417,male
"[20,80]",12,2017,47,381.574470033037,346,198.160679222946,male
"[20,80]",12,2018,50,342.490900421143,289.464996337891,207.220425089895,male
"[20,80]",1,2002,26,298.81827046321,285.310012817383,195.739225572875,female
"[20,80]",1,2003,19,352.209473459344,361,163.708270701691,female
"[20,80]",1,2004,45,365.805112372504,314,189.982956802689,female
"[20,80]",1,2005,38,489.26815715589,431.020004272461,255.322403675259,female
"[20,80]",1,2006,38,602.592368276496,333.699996948242,985.864346927817,female
"[20,80]",1,2007,28,389.224643162319,348,194.21817532519,female
"[20,80]",1,2008,42,326.385952904111,299.5,192.222213917089,female
"[20,80]",1,2009,42,325.492381504604,268,157.721533929305,female
"[20,80]",1,2010,37,337.898649679648,296.390014648438,170.742579293818,female
"[20,80]",1,2011,25,414.449199829102,361,154.552362501662,female
"[20,80]",1,2012,27,409.844515765155,303,287.42210574595,female
"[20,80]",1,2013,22,396.71445499767,336.439498901367,256.242651834353,female
"[20,80]",1,2014,33,305.082576404918,278,155.014843993926,female
"[20,80]",1,2015,32,391.299063205719,335,172.922379193359,female
"[20,80]",1,2016,77,429.773454542284,408,160.501798933544,female
"[20,80]",1,2017,49,500.060390238859,465.359985351563,219.867015913232,female
"[20,80]",1,2018,66,390.429546009411,295.039993286133,248.350970866285,female
"[20,80]",1,2019,17,411.849407420439,349.019989013672,296.515307615277,female
"[20,80]",2,2002,36,281.599444707235,258.5,143.296253360858,female
"[20,80]",2,2003,31,444.618710425592,378,297.24805493372,female
"[20,80]",2,2004,41,358.896098811452,327,190.855117308788,female
"[20,80]",2,2005,53,392.551887656158,371,161.076336385217,female
"[20,80]",2,2006,25,325.115199584961,318,155.575357839951,female
"[20,80]",2,2007,30,407.708332316081,382.169998168945,144.369486308402,female
"[20,80]",2,2008,27,351.50629679362,298,208.490755339193,female
"[20,80]",2,2009,36,352.097776624892,339,170.658647398432,female
"[20,80]",2,2010,34,351.855589025161,339.125,172.014152719901,female
"[20,80]",2,2011,26,262.241537827712,270,113.789495244993,female
"[20,80]",2,2012,33,367.38487960353,295,249.081714185097,female
"[20,80]",2,2013,22,312.701365384189,278.035003662109,144.250388140772,female
"[20,80]",2,2014,30,308.378032938639,267.821502685547,177.238888136069,female
"[20,80]",2,2015,35,416.827228219169,365,235.726525750033,female
"[20,80]",2,2016,77,515.769635287198,500,266.198984744546,female
"[20,80]",2,2017,44,364.585952065208,279.769989013672,164.870135744342,female
"[20,80]",2,2018,58,387.412189615184,306.850006103516,247.698339138018,female
"[20,80]",3,2002,30,351.506333414714,362.5,121.170017814569,female
"[20,80]",3,2003,39,368.897178845528,365.640014648438,185.888708533915,female
"[20,80]",3,2004,46,434.670869246773,411.5,220.844805788324,female
"[20,80]",3,2005,54,357.011482380055,258.074996948242,242.613792618236,female
"[20,80]",3,2006,36,419.573888990614,393.714996337891,236.837073768052,female
"[20,80]",3,2007,37,405.208109262827,328,212.627326522472,female
"[20,80]",3,2008,42,326.405476161412,316,132.68317309788,female
"[20,80]",3,2009,28,313.428927830287,276.229995727539,189.125559300668,female
"[20,80]",3,2010,30,314.165999603271,248.455001831055,230.207533857426,female
"[20,80]",3,2011,27,277.634814792209,236,141.374281517165,female
"[20,80]",3,2012,40,300.999750137329,286,143.455130762986,female
"[20,80]",3,2013,24,426.933373769124,381,185.831163618396,female
"[20,80]",3,2014,22,374.078818581321,290.5,259.280659420705,female
"[20,80]",3,2015,38,373.732368870785,329.5,184.891216320921,female
"[20,80]",3,2016,65,404.069381948618,308,274.7773105244,female
"[20,80]",3,2017,59,374.386778233415,354.559997558594,135.156847865825,female
"[20,80]",3,2018,72,342.821514129639,279.769989013672,198.973550674311,female
"[20,80]",4,2002,36,369.897223578559,371.5,141.376515306525,female
"[20,80]",4,2003,19,414.559999967876,274.230010986328,310.366354222252,female
"[20,80]",4,2004,32,411.532810688019,384.630004882813,208.570408064573,female
"[20,80]",4,2005,49,438.743672273597,435,235.259828873812,female
"[20,80]",4,2006,32,485.10187625885,407.595001220703,246.973213008792,female
"[20,80]",4,2007,23,350.183477650518,285.309997558594,174.231024848545,female
"[20,80]",4,2008,30,309.019333394369,290,139.688375296634,female
"[20,80]",4,2009,23,435.764781786048,345,260.416601873669,female
"[20,80]",4,2010,22,413.712726939808,337.5,213.664179965904,female
"[20,80]",4,2011,18,311.971110026042,287,150.96062660151,female
"[20,80]",4,2012,23,391.815826416016,356,201.028914797954,female
"[20,80]",4,2013,29,402.284309124124,452,190.098582013689,female
"[20,80]",4,2014,29,344.051207443763,279,164.483570302185,female
