age_group,season,hour,n,mean,median,std,type
"[20,80]",summer,4,248,7.03463708200762,5.04999995231628,5.96616457724413,male
"[20,80]",summer,5,39,5.47948718682314,4.67999982833862,3.34796479217814,male
"[20,80]",summer,6,5,4.68600001335144,5.19999980926514,1.46634917608209,male
"[20,80]",summer,7,4,5,5.25,1.94079014336028,male
"[20,80]",summer,8,1,22.6000003814697,22.6000003814697,,male
"[20,80]",summer,13,1,31.7999992370606,31.7999992370606,,male
"[20,80]",summer,18,61,5.86393440160595,4.15000009536743,4.73558170352063,male
"[20,80]",summer,19,2314,6.70825842659125,5.19999980926514,4.73388101601524,male
"[20,80]",summer,20,4892,6.54236508149255,4.90000009536743,4.84562821200543,male
"[20,80]",summer,21,3649,6.22599068097005,4.69999980926514,4.61326025651319,male
"[20,80]",summer,22,1065,6.19076996431664,4.80000019073486,4.4270907922296,male
"[20,80]",summer,23,1274,6.34927788128845,4.90000009536743,4.57470801406822,male
"[20,80]",winter,0,1870,6.65520856093595,5.19999980926514,4.52556568860673,male
"[20,80]",winter,1,1887,6.59157922511765,4.94000005722046,4.81273317243189,male
"[20,80]",winter,2,1563,6.96099807860679,5.40000009536743,4.99163907667107,male
"[20,80]",winter,3,898,6.80875278899824,5.26999998092651,4.8153638905891,male
"[20,80]",winter,4,227,7.36484579892936,5.09999990463257,5.85246132489041,male
"[20,80]",winter,5,36,5.48527775539292,4.39499998092651,3.73138530101959,male
"[20,80]",winter,6,11,4.67545446482572,3.90000009536743,2.80287470552602,male
"[20,80]",winter,7,3,4.67000007629395,3.90000009536743,1.86807398425549,male
"[20,80]",winter,18,48,5.62062498927116,4.85000014305115,2.26415022196673,male
"[20,80]",winter,19,2506,6.96866719882582,5.40000009536743,4.94224520257488,male
"[20,80]",winter,20,5423,6.83981190918337,5.19999980926514,5.02454678917662,male
"[20,80]",winter,21,4153,6.44427401623954,5.05000019073486,4.41210966562732,male
"[20,80]",winter,22,1214,6.37126029372412,4.80000019073486,4.91695889571732,male
"[20,80]",winter,23,1457,6.61483185775655,5,4.6729962242454,male
