age_group,season,hour,n,mean,median,std,type
"[20,80]",summer,6,6223,0.346648280659821,0.257413327693939,0.258478762563671,male
"[20,80]",summer,7,4905,0.307423432129763,0.225191324949265,0.247470056405449,male
"[20,80]",summer,8,4968,0.302172141891624,0.222790732979774,0.243542913457168,male
"[20,80]",summer,9,5247,0.283686990972856,0.211399987339973,0.234859623874062,male
"[20,80]",summer,10,5254,0.277051991723878,0.204117655754089,0.233068808372628,male
"[20,80]",summer,11,4311,0.26697804511321,0.191736340522766,0.232384877586649,male
"[20,80]",summer,12,4162,0.26002476183592,0.191736340522766,0.22703276074109,male
"[20,80]",summer,13,3515,0.252775274649538,0.176258206367493,0.225478681487316,male
"[20,80]",summer,14,2713,0.246465917803701,0.165713474154472,0.224900382079329,male
"[20,80]",summer,15,2124,0.246829096258578,0.166363529860973,0.225256566984616,male
"[20,80]",summer,16,1767,0.247401553685247,0.165515080094337,0.225152999111368,male
"[20,80]",summer,17,1635,0.262422392836883,0.184502646327019,0.234005162071537,male
"[20,80]",summer,18,4650,0.365102394440722,0.29401259124279,0.260190235878884,male
"[20,80]",summer,19,117487,0.440067302221131,0.429743945598602,0.250068509070462,male
"[20,80]",summer,20,205920,0.461875876474897,0.481515824794769,0.247224526103638,male
"[20,80]",summer,21,138767,0.472237365245251,0.500511646270752,0.250565225136956,male
"[20,80]",summer,22,50333,0.439863996248739,0.425893306732178,0.260948228075674,male
"[20,80]",summer,23,47893,0.397589864102536,0.368416666984558,0.263677736318979,male
"[20,80]",winter,0,48849,0.587976470936474,0.624820828437805,0.266481346622054,male
"[20,80]",winter,1,41462,0.612621055925566,0.646268844604492,0.26577484464072,male
"[20,80]",winter,2,42371,0.612538346519114,0.646268844604492,0.269554149207563,male
"[20,80]",winter,3,32018,0.60771029490578,0.645631909370422,0.272756977011167,male
"[20,80]",winter,4,14716,0.573058286613422,0.619886040687561,0.283022809789495,male
"[20,80]",winter,5,9271,0.529703643374292,0.582200765609741,0.292297233444304,male
"[20,80]",winter,6,5492,0.416237541087934,0.369429439306259,0.285700963458734,male
"[20,80]",winter,7,4483,0.342709834544691,0.250262975692749,0.264659261832516,male
"[20,80]",winter,8,4431,0.31923010267815,0.237466603517532,0.248547310033798,male
"[20,80]",winter,9,4411,0.3076410308517,0.222790732979774,0.245517326317793,male
"[20,80]",winter,10,4197,0.292781061781777,0.213049113750458,0.240903894907258,male
"[20,80]",winter,11,3255,0.287115835360095,0.213049113750458,0.236938826740521,male
"[20,80]",winter,12,2890,0.285357408005757,0.216241881251335,0.235466378804816,male
"[20,80]",winter,13,2343,0.265776772815631,0.193335175514221,0.232502259244856,male
"[20,80]",winter,14,1822,0.262478456929077,0.184502646327019,0.231148247564664,male
"[20,80]",winter,15,1447,0.273952307239105,0.204117655754089,0.234890648080468,male
"[20,80]",winter,16,1245,0.281375978467799,0.204012781381607,0.239108764481811,male
"[20,80]",winter,17,1066,0.311926725693571,0.237466603517532,0.249127438542741,male
"[20,80]",winter,18,3648,0.484992704172966,0.508028626441956,0.287153117220605,male
"[20,80]",winter,19,104317,0.59510763598055,0.623833775520325,0.246077329525897,male
"[20,80]",winter,20,192857,0.602577833822633,0.636480569839478,0.240461964787225,male
"[20,80]",winter,21,127935,0.591172692529278,0.628831326961517,0.245459436149015,male
"[20,80]",winter,22,45076,0.557761468059375,0.610130667686462,0.26196994286255,male
"[20,80]",winter,23,44636,0.567644234351765,0.616423726081848,0.267102459918844,male
"[20,80]",fall,0,59851,0.496844424947849,0.526510000228882,0.27794100786709,female
"[20,80]",fall,1,50817,0.503604431140685,0.540285468101502,0.282133455679122,female
"[20,80]",fall,2,51732,0.510778311493769,0.556557416915894,0.283499953371385,female
