age_group,season,hour,n,mean,median,std,type
"[20,80]",spring,6,1,0.492063492536545,0.492063492536545,,both
"[20,80]",spring,19,163,0.47683656377935,0.454545468091965,0.26714643898525,both
"[20,80]",spring,20,391,0.493147514636635,0.5,0.259257906890566,both
"[20,80]",spring,21,358,0.522126684589676,0.528064668178558,0.249661426431137,both
"[20,80]",spring,22,147,0.56724988512036,0.595238089561462,0.265568126060328,both
"[20,80]",spring,23,125,0.550155044615269,0.586206912994385,0.239100566530525,both
"[20,80]",summer,0,134,0.540781952996752,0.550362318754196,0.266124352954622,both
"[20,80]",summer,1,212,0.566019511359902,0.591047286987305,0.274386678692006,both
"[20,80]",summer,2,215,0.488227177238049,0.482142865657806,0.235645469443177,both
"[20,80]",summer,3,149,0.483104837245789,0.458333343267441,0.257024240427728,both
"[20,80]",summer,4,52,0.463602481983029,0.504901975393295,0.235713460306264,both
"[20,80]",summer,5,1,0.25,0.25,,both
"[20,80]",summer,18,4,0.361429482698441,0.327956989407539,0.101561753323953,both
"[20,80]",summer,19,164,0.463657271139687,0.43235294520855,0.240832467934262,both
"[20,80]",summer,20,379,0.462404384570182,0.46428570151329,0.255009596125201,both
"[20,80]",summer,21,334,0.495108651499191,0.475961536169052,0.248005180325125,both
"[20,80]",summer,22,119,0.529317544037555,0.535714268684387,0.229961969632094,both
"[20,80]",summer,23,108,0.538624861450107,0.551159083843231,0.248861343742157,both
"[20,80]",winter,0,191,0.595370239690336,0.600000023841858,0.28177528457188,both
"[20,80]",winter,1,189,0.608589031472408,0.652173936367035,0.267432869582472,both
"[20,80]",winter,2,225,0.549892190595468,0.550000011920929,0.265579170652166,both
"[20,80]",winter,3,163,0.561124884917692,0.609756112098694,0.269502049849825,both
"[20,80]",winter,4,42,0.437862059722344,0.365251898765564,0.285603602971982,both
"[20,80]",winter,5,1,0.336538463830948,0.336538463830948,,both
"[20,80]",winter,6,1,0.123966939747334,0.123966939747334,,both
"[20,80]",winter,18,2,0.353439155966043,0.353439155966043,0.338214039809378,both
"[20,80]",winter,19,149,0.514693809435672,0.520833313465118,0.275502532152502,both
"[20,80]",winter,20,413,0.475141630956754,0.476190477609634,0.261875330621441,both
"[20,80]",winter,21,363,0.545599619937501,0.562091529369354,0.274237101504895,both
"[20,80]",winter,22,153,0.530736298951643,0.53658539056778,0.268616321013829,both
"[20,80]",winter,23,119,0.47899573942756,0.5,0.268973699142466,both
